sample,timestamp,elapsed_sec,peak_load_kn,tensile_str_mpa,elongation_pct
1,2026-09-11 06:54:51.942,0.0,4.775,381.99,23.33
2,2026-09-11 06:54:52.943,1.0,4.734,378.72,22.81
3,2026-09-11 06:54:53.943,2.0,4.847,387.78,23.02
4,2026-09-11 06:54:54.944,3.0,4.847,387.79,22.91
5,2026-09-11 06:54:55.944,4.0,4.787,383.0,23.8
6,2026-09-11 06:54:56.944,5.0,4.671,373.68,23.43
7,2026-09-11 06:54:57.945,6.0,4.792,383.33,22.79
8,2026-09-11 06:54:58.945,7.0,4.791,383.28,22.95
9,2026-09-11 06:54:59.946,8.0,4.737,378.94,23.48
10,2026-09-11 06:55:00.946,9.0,4.657,372.55,23.9
