sample;timestamp;elapsed_sec;peak_load_kn;tensile_str_mpa;elongation_pct
1;2026-09-11 07:00:36.364;0,000;4,787;382,930;23,340
2;2026-09-11 07:00:37.365;1,000;4,776;382,050;23,890
3;2026-09-11 07:00:38.365;2,000;4,793;383,440;23,050
4;2026-09-11 07:00:39.365;3,000;4,838;387,040;23,030
5;2026-09-11 07:00:40.366;4,000;4,722;377,730;24,040
6;2026-09-11 07:00:41.366;5,000;4,676;374,060;24,030
7;2026-09-11 07:00:42.367;6,000;4,726;378,100;23,610
8;2026-09-11 07:00:43.367;7,000;4,814;385,100;23,880
9;2026-09-11 07:00:44.367;8,000;4,664;373,110;23,760
10;2026-09-11 07:00:45.368;9,000;4,735;378,760;23,800
