sample;timestamp;elapsed_sec;vpp_v;freq_hz
1;2026-09-11 07:54:07.724;0,000;3,301;49997,790
2;2026-09-11 07:54:08.724;1,000;3,303;50002,760
3;2026-09-11 07:54:09.724;2,000;3,303;49997,330
4;2026-09-11 07:54:10.725;3,000;3,301;49998,710
5;2026-09-11 07:54:11.725;4,000;3,286;50002,740
6;2026-09-11 07:54:12.726;5,000;3,302;49999,910
7;2026-09-11 07:54:13.726;6,000;3,288;49999,310
8;2026-09-11 07:54:14.727;7,000;3,305;49997,640
9;2026-09-11 07:54:15.727;8,000;3,308;50002,410
10;2026-09-11 07:54:16.727;9,000;3,308;50001,480
