sample;timestamp;elapsed_sec;peak_freq_ghz;peak_power_dbm
1;2026-09-11 07:54:30.923;0,000;2,440;-12,230
2;2026-09-11 07:54:31.923;1,000;2,440;-12,540
3;2026-09-11 07:54:32.924;2,000;2,440;-12,560
4;2026-09-11 07:54:33.924;3,000;2,440;-12,210
5;2026-09-11 07:54:34.924;4,000;2,440;-12,390
6;2026-09-11 07:54:35.925;5,000;2,440;-12,490
7;2026-09-11 07:54:36.925;6,000;2,440;-12,310
8;2026-09-11 07:54:37.925;7,000;2,440;-12,400
9;2026-09-11 07:54:38.926;8,000;2,440;-12,520
10;2026-09-11 07:54:39.926;9,000;2,440;-12,210
