no;saluran;frekuensi_mhz;daya_terukur_watt;standar_watt;evaluasi
1;F1;40,00;5,50;5,00;Memenuhi Standar
2;F2;44,00;5,80;5,00;Memenuhi Standar
3;F3;48,00;5,60;5,00;Memenuhi Standar
4;F4;51,00;5,75;5,00;Memenuhi Standar
5;F5;54,00;5,60;5,00;Memenuhi Standar
6;F6;58,00;5,85;5,00;Memenuhi Standar
7;F7;62,00;5,40;5,00;Memenuhi Standar
8;F8;66,00;5,20;5,00;Memenuhi Standar
9;F9;70,00;5,10;5,00;Memenuhi Standar
10;F10;72,00;5,35;5,00;Memenuhi Standar
11;F11;75,00;4,70;5,00;★ Paling Kritis (min)
12;F12;78,00;4,90;5,00;Di Bawah Standar
13;F13;80,00;5,15;5,00;Memenuhi Standar
14;F14;84,00;5,30;5,00;Memenuhi Standar
15;F15;88,00;5,50;5,00;Memenuhi Standar
