sample;timestamp;elapsed_sec;peak_load_kn;tensile_str_mpa;elongation_pct
1;2026-09-11 08:12:14.313;0,000;4,567;365,390;23,480
2;2026-09-11 08:12:15.313;1,000;0,210;16,830;0,290
3;2026-09-11 08:12:16.313;2,000;0,496;39,680;0,800
4;2026-09-11 08:12:17.314;3,000;0,747;59,750;1,300
5;2026-09-11 08:12:18.314;4,000;0,997;79,770;1,690
6;2026-09-11 08:12:19.314;5,000;1,217;97,320;2,110
7;2026-09-11 08:12:20.315;6,000;1,450;116,030;2,610
8;2026-09-11 08:12:21.315;7,000;1,648;131,850;3,110
9;2026-09-11 08:12:22.316;8,000;1,829;146,310;3,550
10;2026-09-11 08:12:23.316;9,000;2,005;160,360;4,050
11;2026-09-11 08:12:24.317;10,000;2,209;176,710;4,530
12;2026-09-11 08:12:25.317;11,000;2,342;187,350;5,010
13;2026-09-11 08:12:26.318;12,010;2,495;199,560;5,430
14;2026-09-11 08:12:27.318;13,010;2,621;209,710;5,970
15;2026-09-11 08:12:28.318;14,010;2,773;221,870;6,370
